geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
afg,Afghanistan,29.73097,29.76293,31.83608,33.90863,35.99935,38.10805,40.21576,42.4295,44.65379,46.88858,49.13379,51.38967,53.65581,55.93214,58.21857,60.51535,62.82207,65.14214,67.47587,69.8227,72.18207,74.55453,76.93921,78.92656,80.83244
ago,Angola,37.84224,38.33882,38.83539,40.39652,41.97724,43.57434,45.014,46.46865,47.93902,49.42318,50.92228,52.43574,53.96293,55.50323,57.05691,58.61963,60.19206,61.77351,63.36279,64.15991,64.94403,65.71626,66.47633,67.22443,67.96074
alb,Albania,86.39704,86.90407,87.45164,87.98719,88.51058,89.02119,89.51913,90.00419,90.47615,90.93441,91.37948,91.81088,92.22878,92.63159,93.02005,93.39433,93.75488,94.1021,94.43639,94.75822,95.06804,95.08152,95.09457,95.10721,95.11943
and,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
are,UAE,99.61583,99.61389,99.6348,99.65597,99.67738,99.69903,99.72092,99.74304,99.76541,99.788,99.81079,99.8338,99.85701,99.88041,99.90399,99.92775,99.95167,99.97576,100,100,100,100,100,100,100
arg,Argentina,96.28403,96.52282,96.75547,96.98242,97.20434,97.42118,97.63321,97.84036,98.04287,98.24074,98.43405,98.62186,98.8053,98.8642,98.92325,98.98231,99.04137,,,,,,,,
arm,Armenia,95.66867,95.8831,96.11124,96.34512,96.58054,96.81747,97.05602,97.29609,97.53779,97.78103,98.02586,98.27229,98.52033,98.77056,99.01735,99.21989,99.32004,99.42045,99.46264,99.45918,99.45611,99.45348,99.91285,99.9222,99.93157
atg,Antigua and Barbuda,97.45779,97.52484,97.58932,97.65498,97.72178,97.78971,97.85875,97.92888,98.00008,98.07236,98.14566,98.22017,98.29711,98.37434,98.45187,98.5297,98.60784,98.68624,98.76485,98.84362,98.92249,98.92263,98.92271,98.92275,98.92273
aus,Australia,99.7123,99.71124,99.71219,99.73436,99.75634,99.77815,99.79977,99.82125,99.84255,99.86368,99.88314,99.89197,99.90077,99.90959,99.96148,99.97001,99.96997,99.96993,99.96989,99.96985,99.96982,99.96977,99.96973,99.96968,99.96964
aut,Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
aze,Azerbaijan,75.56276,76.47357,77.38592,78.30042,79.21664,80.13421,81.05339,81.97438,82.89654,83.82009,84.74875,85.68163,86.6181,87.55772,88.49958,89.44304,90.3874,91.33198,92.27607,93.21883,94.1597,95.09774,96.00357,96.84904,97.68808
bdi,Burundi,49.905,50.60764,51.31359,52.02244,52.73415,53.44864,54.16619,54.88641,55.6099,56.33558,57.06472,57.79689,58.53169,59.27002,60.0108,60.7546,61.50132,62.25085,63.00311,63.75799,64.40287,65.0493,65.69756,65.80699,65.9191
bel,Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ben,Benin,61.05343,61.41105,61.78269,62.17777,62.56948,62.9573,63.34142,63.722,64.09877,64.47128,64.83989,65.20457,65.56525,65.92152,66.2746,66.62403,66.96971,67.31153,67.64941,67.98325,68.31295,68.63812,68.95898,69.27529,69.58684
bfa,Burkina Faso,55.63909,55.8329,55.61143,55.39031,55.17129,54.95405,54.74041,54.47751,54.17093,53.86076,53.54818,53.23372,52.91757,52.60027,52.28273,51.96513,51.64806,51.33083,51.01436,50.69962,50.38626,50.07527,49.76626,49.46066,49.99866
bgd,Bangladesh,94.55666,94.7287,94.90527,95.08058,95.25455,95.46159,95.66656,95.86936,96.06989,96.26805,96.46384,96.65714,96.84777,97.03565,97.2208,97.40314,97.5827,97.75943,97.93332,98.10436,98.27257,98.43794,98.5793,98.68167,98.78254
bgr,Bulgaria,99.73772,99.70793,99.67888,99.65042,99.62257,99.59529,99.56858,99.54246,99.5169,99.49189,99.46744,99.44354,99.42022,99.39748,99.37531,99.35373,99.33272,99.31231,99.29245,99.27317,99.25446,99.23632,99.21874,99.20173,99.18525
