geo,name,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
afg,Afghanistan,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,91.28,90.83,90.83,90.83,90.83,90.83,90.83,90.83,90.83,90.83,90.83,90.83,90.76,90.26,90.1,90.12,90.29,89.78,90.93,90.83,90.76,90.75,88.62,88.95,86.96,85.8,86.98,87.16,88,88.78,88.98,89.06,89.34,89.34,89.41,89.5,89.61,88.38,88.95,89.14,89.16,88.88,88.8,88.48,88.41,88.33,88.17,87.43,86.86,85.99,85.84,84.92,83.83,83.13,83.78,83.87,84.38,84.49,83.61,83.61,82.69,82.67,81.58,81.31,79.57,79.2,79.07,78.29,78.86,79.41,79.5,78.71,78.91,78.08,77.99,76.81,77.95,77.93,76.98,76.98,75.99,75.99,74.97,74.12,73.27,73.4,72.47,72.4,72.33,71.24,71.3,70.15,70.18,67.28,66.04,63.99,63.61,62.08,61.68,61.55,59.89,59.93,58.29,58.22,56.6,56.88,56.17,59.51,59.3,58.15,57.02,57.08,55.23,53.66,51.91,50.3,50.3,48.66,45.36,43.7,42.02,40.24,39.97,35.11,37.13,33.11,31.21,31.76,32.31,30.54,27.92,26.28,31.03,33.82,33.47,33.9,33.9,31.88,32.36,43.66,43.57,37.02,33.56,28.39,35.58,30.28,33.63,34,25.26,17.69,11.92,13.93,15.32,15.98,20,22.89,28.06,29.73,33.43,35.15,55.1,71.26,48.74,51.93,53.52,56.68,58.24,59.78,64.29,51.93,50.35,50.35,47.17,45.6,39.46,38.13,30.31,26.7,28.04,24.19,23.16,24.19,24.19,24.19,24.19,25.43,25.43,28.5,46.56,53.52,54.74,56.34,56.14,54.74,54.78,52.99,51.51,47.49,43.54,42.03,42.08,40.58,39.09,39.09,37.62,36.18,36.18,34.75,33.34,33.34,31.95,31.95,30.82,29.59,29.69,28.53,27.19,27.51,26.37,25.12,25.12,23.9,22.73,22.73,21.59,20.48,20.48,19.19,18.17,18.17,17.18,16.23,15.31,15.31,14.43,13.58,13.43,12.76,11.97,11.22,11.05,10.49,9.81,9.28,9.29,8.81,8.47,8.14,7.93,8.01,7.57,7.27,6.96,6.43,6.43,6.02,5.42,5.02,4.57,4.49,4.15,3.83,3.55,3.28,2.97,2.71,2.68,2.39
ago,Angola,91.81,91.81,91.81,91.81,91.81,91.33,91.33,91.33,91.33,91.33,91.33,91.43,90.93,90.93,90.93,90.93,90.93,90.93,90.41,90.41,90.41,90.41,90.41,90.41,89.87,89.87,89.87,89.87,89.87,89.87,89.86,89.29,89.29,89.29,89.29,89.29,89.29,88.7,88.7,88.7,88.7,88.7,88.7,88.07,88.07,88.07,88.07,88.07,88.07,87.42,87.42,87.42,87.42,87.42,87.51,87.51,86.82,86.82,86.82,86.82,86.82,86.82,86.11,86.11,86.11,86.11,86.21,86.21,86.21,85.47,85.47,85.47,85.47,85.48,85.49,84.72,84.73,84.74,84.75,84.76,84.76,83.97,83.98,83.99,84,84.01,84.02,83.21,83.22,83.23,83.25,83.26,83.35,83.37,82.53,82.54,82.55,82.6,82.61,82.63,81.76,81.78,81.79,81.8,81.82,81.83,80.95,80.97,80.98,81,81.01,81.03,81.05,80.15,79.22,78.27,77.31,76.3,75.3,74.25,73.16,72.06,70.93,69.7,67.3,66.1,64.89,63.66,62.42,61.18,59.93,58.71,56.12,54.86,53.66,52.54,51.32,50.08,48.86,47.64,45.14,43.95,41.5,39.11,38.11,35.82,33.69,32.66,30.56,28.54,27.65,25.86,25.07,24.31,25.31,22.87,22.99,20.75,19.47,19.58,19.03,16.11,16.73,16.22,14.08,12.66,11.8,10.98,11.46,11.07,10.28,9.92,9.96,9.22,9.65,13.6,15.18,15.23,15.82,15.87,15.36,16.79,17.22,17.31,17.28,17.15,17.36,17.39,16.85,17.31,18.5,18.57,20.18,25.8,25.88,24.02,22.04,21.33,21.15,21.31,21.3,22.2,21.09,21.99,21.06,19.09,17.86,16.07,15.15,16.42,18.37,19.51,20.83,22.09,22.38,21.49,24.74,27.76,30.77,32.29,34.4,35.37,35.66,35.91,35.63,34.61,34.54,34.48,33.33,32.18,33.2,32.04,30.92,30.85,29.73,28.63,27.54,26.46,25.4,24.36,24.3,23.27,22.25,21.29,20.33,19.41,18.5,17.66,17.65,16.82,16.03,15.26,14.52,13.81,13.09,12.41,12.38,11.69,11.05,10.45,9.87,9.33,8.81,8.78,8.28,7.8,7.33,6.88,6.46,6.06,6.04,5.64,5.27,4.92,4.59,4.28,4.26,3.96,3.69,3.42,3.17,3.16,2.93,2.71,2.55,2.36,2.36,2.19,2.04,1.91,1.9,1.78,1.64,1.51,1.5,1.39,1.29,1.28,1.18,1.09,1.09
alb,Albania,92.42,92.42,92.42,92.4,92.4,92.01,92.01,92.01,92.01,92.01,92.01,92.01,92.01,92.01,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.59,91.16,91.16,91.16,91.16,91.16,91.16,91.16,91.16,91.16,91.16,90.71,90.71,90.71,90.71,90.71,90.71,90.71,90.71,90.71,90.24,90.24,90.24,90.24,90.24,90.24,90.24,90.24,90.24,90.24,89.75,89.75,89.75,89.75,89.75,89.75,89.75,89.75,89.75,89.75,89.24,89.24,89.24,89.25,89.26,89.36,89.3,89.46,90.84,91.35,90.92,91.37,92.71,92.77,92.86,92.95,91.84,92.39,92.22,92.02,92.13,92.41,92.46,92.73,92.53,92.57,92.6,92.63,92.66,92.19,92.22,92.25,92.28,92.31,92.34,92.37,92.4,92.43,91.91,91.94,91.96,91.99,92.02,92.05,92.08,92.1,92.13,92.16,91.59,91.62,91.64,91.04,90.39,89.71,88.99,88.22,87.4,86.51,85.56,84.52,83.41,82.2,80.9,78.11,76.61,75.06,73.48,71.88,70.26,68.62,66.96,65.28,63.54,61.74,59.86,57.88,55.82,53.69,51.53,47.34,45.24,43.19,41.2,39.25,37.32,33.64,31.73,29.83,29.69,29.54,27.65,24.05,20.51,20.33,17.04,14.36,12.01,9.93,9.85,8.86,7.22,6.49,5.83,4.61,4.06,3.55,2.72,2.37,2.05,1.75,1.29,1.27,1.08,1.06,0.89,0.88,0.74,0.72,0.65,0.62,0.64,0.74,0.76,0.64,0.72,0.8,0.63,1.02,3.11,3.96,2.82,2.02,1.26,0.87,2.01,2.07,1.15,1.21,1.3,1.41,1.18,0.95,0.79,0.57,0.39,0.27,0.41,0.52,0.62,0.74,1.23,1.39,0.29,0.37,0.52,0.16,0.02,0.05,0.03,0.01,0.01,,0.01,,,,,,,,,,,,,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.08,0.1,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09
are,UAE,30.6,29.5,29.5,29.5,29.59,29.59,29.37,29.37,29.44,28.02,28.02,28.02,28.02,28.02,28.02,28.12,26.74,26.74,26.74,26.74,27.34,27.44,27.66,26.31,26.71,26.61,26.75,26.75,26.85,26.85,27.24,25.9,25.9,25.78,25.78,26.25,26.58,27,25.71,26.15,26.27,26.52,26.52,26.74,26.74,26.84,25.55,25.55,26.1,26.09,26.09,26.08,26.09,24.83,25.11,25.11,25.27,25.27,25.62,25.61,25.61,24.67,24.66,24.62,24.48,24.66,24.79,24.9,23.7,23.7,24.04,24.15,22.38,22.44,20.92,20.14,19.45,19.19,17.89,17.01,16.71,15.33,15.21,14.37,14.24,13.51,13.73,12.2,11.9,10.74,10.58,10.08,10.4,9.59,9.31,8.56,8.57,7.97,7.79,7.27,6.93,6.98,6.46,6.22,5.47,5.52,5.19,5.04,4.73,4.8,4.36,4.5,4.12,4.1,4.37,5.21,6.32,7.41,8.59,7.47,6.32,5.23,4.53,4.48,4.77,4.93,5.28,5.36,5.72,7.41,9.26,10.61,13.13,15.73,18.65,18.51,19.56,19.33,20.15,20.04,20.73,20.77,19.76,19.77,19.65,18.89,17.84,16.88,15.96,15.03,14.22,13.42,12.62,11.98,11.2,10.42,9.84,9.27,6.61,4.41,2.97,1.65,0.69,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arg,Argentina,38.64,37,37.01,36.49,36.27,36.27,36.04,36.04,36.04,34.18,34.18,34.1,34.13,34.13,34.13,34.13,34.13,32.55,32.63,32.93,32.92,32.93,31.39,31.51,31.65,31.82,30.33,30.62,30.62,30.62,29.51,29.6,29.4,28.75,28.05,28.05,28.05,26.76,26.76,27.35,27.68,26.73,26.77,26.87,27.24,25.91,24.16,23.77,22.44,22.48,22.52,21.55,20.54,22.63,23.89,22.58,31.42,31.66,29.08,24.94,27.11,25.94,24.34,23.31,24.04,27.05,26.31,25.88,25.39,22.16,21.13,19.62,19.54,18.15,16.82,15.45,15.65,12.94,17.78,18.31,20.33,20.58,14.49,12.07,11.16,8.25,8.62,8.32,7.09,6.97,8.34,9.44,7.42,6.59,5.41,4.35,3.85,6.43,5.22,3.71,5.94,6,6.96,5.13,4.35,3.58,3.58,3.57,2.81,2.73,2.49,2.52,2.05,2.46,4,4.37,4.59,6.16,4.19,4.17,3.43,3.49,2.91,2.39,1.96,2.69,2.5,2.31,1.89,1.89,2.26,3.25,3.77,3.5,2.67,2.42,2.64,2.16,2.08,1.93,1.81,1.37,1.21,1.25,0.84,0.96,0.74,0.56,0.59,0.68,0.82,0.74,0.92,0.79,0.72,0.48,0.48,0.47,0.41,0.46,0.37,0.31,0.32,0.42,0.32,0.26,0.24,0.24,0.21,0.2,0.19,0.19,0.19,0.18,0.17,0.18,0.19,0.18,0.19,0.18,0.18,0.19,0.02,0.03,0.05,0.09,0.09,1.35,1.33,1.38,1.44,1.28,2.17,2.45,1.15,2.73,2.68,2.76,3.46,3.31,4.53,6.92,12.07,5.43,4.23,2.82,2.48,2.01,1.67,1.72,1.02,0.84,0.82,0.78,0.73,0.75,0.83,0.73,1.19,1.22,1.37,1.1,0.8,0.87,0.97,0.88,0.82,0.77,0.72,0.67,0.73,0.67,0.63,0.59,0.59,0.54,0.51,0.51,0.48,0.45,0.42,0.42,0.39,0.37,0.37,0.35,0.33,0.32,0.31,0.31,0.29,0.28,0.27,0.26,0.26,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08
arm,Armenia,92.68,92.68,92.68,92.68,92.68,92.31,92.31,92.31,92.31,92.31,92.27,92.27,92.27,91.88,91.88,91.88,91.88,91.88,91.88,91.88,91.47,91.47,91.47,91.47,91.02,91.02,91.02,91.02,90.58,90.58,90.58,90.11,90.08,90.08,90.09,89.6,89.6,89.6,89.09,89.08,89.08,88.55,88.55,88.55,88.55,88.01,88,88.18,87.49,87.95,88,87.21,87.14,84.68,84.1,81.59,81.65,83.42,83.6,84.43,84.94,84.66,84.11,83.07,82.18,82.33,82,80.92,81.76,82.24,81.53,81.53,81.24,79.61,78.87,79.05,79.48,78.38,78.39,77.95,79.66,79.34,78.21,77.69,77.02,75.48,76.27,69,69.5,71.98,73.5,77.14,72.79,68.49,61.08,64.57,58.21,59.72,58.25,53.69,55.39,54.11,49.68,53.14,48.66,55.81,59.46,61.05,58.96,56.6,53.82,57.88,53.82,51.05,52.54,51.14,52.54,61.84,69.25,76.73,77.68,79.49,76.76,73.74,70.42,66.84,63.07,59.09,53.58,49.35,47.91,46.46,47.84,44.99,40.79,34.11,31.43,27.39,27.35,24.81,27.26,28.4,29.67,30.95,32.18,32.11,33.37,28.03,21.88,18.68,15.67,16.58,14.7,13.85,12.86,11.44,9.02,8.94,7.45,8.12,5.99,5.3,5.28,6.54,4.16,3.63,3.14,2.72,1.96,1.95,1.35,1.32,1.56,1.03,1.01,1.21,1.43,1.38,1.65,1.98,1.97,2.14,1.79,1.83,1.44,1.15,1.18,1.79,2.54,1.1,2.04,4.5,20.61,22.98,19.76,16.72,14.72,13.24,14.05,12.79,14.16,14.32,11.11,8.09,5.96,3.25,2.3,1.73,1.04,1.49,1.31,1.5,1.11,1.8,1.7,1.39,1.32,1.02,1.57,1.12,0.55,0.82,0.88,0.67,0.54,0.53,0.48,0.47,0.43,0.42,0.45,0.34,0.27,0.13,0.14,0.14,0.14,0.13,0.16,0.18,0.2,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.14,0.13,0.15,0.15,0.17,0.16,0.15,0.16,0.15,0.16,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03
atg,Antigua and Barbuda,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.68,93.35,93.35,93.35,93.35,93,93,93,93,92.63,92.63,92.63,92.63,92.25,92.25,92.25,92.25,91.84,91.84,91.84,91.84,91.41,91.41,91.41,91.41,90.96,90.96,90.96,90.96,90.96,90.48,90.48,90.48,90.48,89.98,89.98,89.99,89.99,89.47,89.47,89.48,89.48,88.94,88.94,88.93,88.93,88.36,88.36,88.37,88.36,87.77,87.77,87.77,87.77,87.15,87.14,87.15,87.15,86.49,86.49,86.48,86.5,86.5,85.81,85.81,85.81,85.81,85.1,85.09,85.09,85.09,84.34,84.34,84.34,84.33,83.55,83.56,83.56,83.55,82.74,82.73,82.73,82.75,81.87,81.89,81.88,81.88,80.96,80.97,80.98,80.97,80.03,79.04,78,76.95,75.83,74.68,74.67,73.4,72.15,70.71,69.35,67.95,66.51,65.03,65.01,63.49,61.89,60.31,58.68,57.06,55.5,53.83,53.67,51.99,50.32,48.46,46.1,43.91,42.94,40.72,38.04,35.01,34.86,32.54,29.8,29,26.49,23.99,22,21.63,20.33,18.09,16.12,15.81,14.19,12.98,12.93,10.73,9.74,8.46,7.79,6.66,5.88,4.9,4.31,3.79,3.35,2.33,1.28,0.74,0.62,1.08,1.78,1.28,1.08,0.43,0.3,0.37,0.53,0.63,1.17,1.3,1.18,1.02,0.72,0.78,0.76,0.76,0.76,0.7,0.65,0.76,0.65,0.6,0.63,0.56,0.45,0.63,0.6,0.52,0.46,0.37,0.18,0.09,0.09,0.37,0.49,0.57,0.52,0.57,0.53,0.53,0.43,0.42,0.32,0.24,0.66,0.52,0.37,0.31,0.22,0.2,0.18,0.16,0.12,0.09,0.13,0.1,0.09,0.08,0.09,0.07,0.07,0.06,0.06,0.05,0.04,0.03,0.02,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aus,Australia,85.55,84.86,84.86,84.86,84.86,84.14,84.14,84.14,84.14,84.14,83.39,83.39,83.39,83.39,83.39,82.61,82.62,82.62,82.61,82.61,80.99,80.99,80.13,79.25,77.39,75.43,75.43,73.32,73.32,71.1,62.23,59.45,59.45,59.45,56.5,45.64,45.62,43.98,43.98,48.8,34.5,43.98,48.8,40.66,33.08,31.79,29.39,21.3,17.83,21.26,25.42,20.74,17.62,15.98,18.62,20.79,15.29,16.43,20.2,12.35,9.89,11.03,11.79,13.84,11.68,12.88,12.09,9.92,9.01,9.46,8.37,8.23,7.27,6.23,6.21,5.32,5.91,4.84,4.01,7.01,7.28,6.91,8.65,8.31,7.98,5.8,3.04,2.35,2.55,2.25,2.68,2.27,3.06,3.44,3.38,4.35,3.67,4.33,3.18,3.17,3.29,3.46,3.69,3.21,2.77,2.74,2.38,2.36,2.19,1.87,1.58,1.69,1.67,1.62,1.54,1.54,1.51,1.49,1.51,1.35,1.26,1.17,1.12,1.06,1,0.96,0.98,0.99,1.02,1.06,1.21,1.4,2.06,1.99,2.03,2.14,2.03,1.84,1.41,1.26,1.61,1.52,1.18,1.19,1.34,1.46,1.2,1.12,1.1,1.09,1.08,1.09,1.12,1.13,1.11,1.09,1.1,1.11,1.11,1.11,1.1,1.13,1.1,1.13,1.1,1.08,1.05,1.04,1.02,1,0.98,0.97,0.98,0.97,0.95,0.96,0.95,0.95,0.94,0.93,0.93,0.93,0.91,0.91,0.91,0.87,0.85,0.84,0.8,0.77,0.77,0.8,0.83,0.85,0.44,0.38,0.47,0.87,0.84,0.82,0.4,0.31,0.87,0.49,0.57,0.53,0.48,0.41,0.35,0.38,0.38,0.41,0.45,0.48,0.46,0.47,0.44,0.48,0.49,0.5,0.48,0.48,0.49,0.49,0.49,0.47,0.46,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22
aut,Austria,57.08,56.94,56.94,56.94,56.94,56.94,55.62,55.62,55.48,55.19,55.19,55.53,54.19,53.89,53.89,52.54,51.96,51.28,48.21,47.23,42.33,40.52,40.29,38.63,38.63,36.26,39.32,42.76,45.16,43.93,40.74,39.16,39.81,39.76,38.34,38.09,38.03,37.56,36.83,34.7,39.26,39.51,39.39,39.32,36.62,28.36,28.52,26.73,25.44,24.21,24.15,24.47,23.81,23.74,22.44,22.44,22.44,22.44,21.2,21.2,21.2,21.2,21.24,20.06,20.1,20.1,20.1,20.17,20.17,19.04,19.04,16.98,16.9,18.24,17.2,17.11,17.03,15.93,14.99,14.92,14.84,13.96,13.88,12.93,11.99,12.63,11.71,10,9.54,10.17,8.9,8.32,8.28,8.27,7.82,7.28,7.25,6.79,6.29,5.83,5.8,6.23,5.74,5.71,5.67,4.94,4.67,4.1,4.08,4.35,4.32,4.01,3.5,3.77,5.9,6.57,6.93,6.89,7.34,9.37,8.14,6.41,5.57,5.56,4.32,3.84,3.61,3.32,3.07,2.84,3.24,4.08,4.98,5.25,5.26,4.91,4.6,4.12,3.2,2.47,2.63,2.3,2.58,2.42,2.27,14.45,11.36,8.83,4.93,3.4,3.14,3.51,3.3,2.79,1.76,1.5,1.39,1.22,1.18,1.1,0.93,0.83,0.79,0.76,0.68,0.64,0.56,0.52,0.48,0.41,0.35,0.31,0.28,0.26,0.24,0.24,0.23,0.21,0.2,0.19,0.19,0.19,0.18,0.16,0.17,0.16,0.15,0.15,0.14,0.14,0.12,0.12,0.11,0.11,0.11,0.04,0.01,0.09,0.19,0.09,0.02,0.14,0.26,0.31,0.08,0.16,0.1,0.38,0.43,0.3,0.49,0.44,0.58,0.29,0.22,0.18,0.23,0.34,0.18,0.56,0.61,0.38,0.38,0.37,0.38,0.36,0.36,0.35,0.35,0.33,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16
aze,Azerbaijan,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.49,90.12,90.12,90.12,90.12,90.12,89.74,89.74,89.74,89.73,89.74,89.34,89.34,89.34,89.34,89.34,89.34,88.92,88.92,88.93,88.92,88.92,88.5,88.5,88.5,88.5,88.5,88.06,88.06,88.06,88.06,88.06,87.6,87.6,87.6,87.6,87.6,87.13,87.13,87.13,87.13,87.13,86.65,86.65,86.65,86.65,86.65,86.15,86.15,86.15,86.18,86.22,85.73,85.76,85.8,85.85,85.9,85.41,85.43,85.5,85.63,85.83,85.29,85.63,87.23,82.38,83.31,85.82,85.83,88.31,86.35,83.07,77.65,81.33,76.88,78.43,77.15,74.31,75.3,73.68,69.19,73.06,67.05,74.04,75.34,77.84,72.76,71.6,69.26,73.67,70.58,68.66,71.2,69.58,74.17,79.68,93,94.94,94.95,95.89,94.27,92.14,86.36,78.18,73.06,70.42,67.85,68.04,65.42,65.69,66.02,64.58,59.83,51.28,47.27,41.61,41.47,38.06,41.43,42.97,43.02,44.56,46.23,46.05,47.63,40.57,32.21,27.65,23.71,23.68,22.23,20.85,18.25,15.93,13.18,13.38,11.73,12.52,10.29,9.61,8.94,10.05,7.72,6.71,5.84,5.38,4.7,4.69,3.88,3.85,3.81,3.15,3.14,3.12,3.11,3.11,3.11,3.11,3.1,2.83,2.63,2.54,2.35,2.28,2.21,2,1.99,2.32,2.79,2.98,4.3,6.61,10.2,13.28,12.65,12,10.79,9.48,8.01,6.68,0.1,0.1,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
